,id,abstract
33,33,"Persistent homology is a widely used tool in Topological Data Analysis that encodes multiscale topological information as a multi-set of points in the plane called a persistence diagram. It is difficult to apply statistical theory directly to a random sample of diagrams. Instead, we can summarize the persistent homology with the persistence landscape, introduced by Bubenik, which converts a diagram into a well-behaved real-valued function. We investigate the statistical properties of landscapes, such as weak convergence of the average landscapes and convergence of the bootstrap. In addition, we introduce an alternate functional summary of persistent homology, which we call the silhouette, and derive an analogous statistical theory."
34,34,"Almost sure asymptotic stabilization of a discrete-time switched stochastic system is investigated. Information on the active operation mode of the switched system is assumed to be available for control purposes only at random time instants. We propose a stabilizing feedback control framework that utilizes the information obtained through mode observations. We first consider the case where stochastic properties of mode observation instants are fully known. We obtain sufficient asymptotic stabilization conditions for the closed-loop switched stochastic system under our proposed control law. We then explore the case where exact knowledge of the stochastic properties of mode observation instants is not available. We present a set of alternative stabilization conditions for this case. The results for both cases are predicated on the analysis of a sequence-valued process that encapsulates the stochastic nature of the evolution of active operation mode between mode observation instants. Finally, we demonstrate the efficacy of our results with numerical examples."
35,35,"Over the last few decades, climate scientists have devoted much effort to the development of large numerical models of the atmosphere and the ocean. While there is no question that such models provide important and useful information on complicated aspects of atmosphere and ocean dynamics, skillful prediction also requires a phenomenological approach, particularly for very slow processes, such as glacial-interglacial cycles. Phenomenological models are often represented as low-order dynamical systems. These are tractable, and a rich source of insights about climate dynamics, but they also ignore large bodies of information on the climate system, and their parameters are generally not operationally defined. Consequently, if they are to be used to predict actual climate system behaviour, then we must take very careful account of the uncertainty introduced by their limitations. In this paper we consider the problem of the timing of the next glacial inception, about which there is on-going debate. Our model is the three-dimensional stochastic system of Saltzman and Maasch (1991), and our inference takes place within a Bayesian framework that allows both for the limitations of the model as a description of the propagation of the climate state vector, and for parametric uncertainty. Our inference takes the form of a data assimilation with unknown static parameters, which we perform with a variant on a Sequential Monte Carlo technique (`particle filter'). Provisional results indicate peak glacial conditions in 60,000 years."
36,36,"We introduce the notion of graphic cocircuits and show that a large class of regular matroids with graphic cocircuits belongs to the class of signed-graphic matroids. Moreover, we provide an algorithm which determines whether a cographic matroid with graphic cocircuits is signed-graphic or not."
37,37,We have investigated the non-static Lorentzian Wormhole model in presence of anisotropic pressure. We have presented some exact solutions of Einstein equations for anisotropic pressure case. Introducing two EoS parameters we have shown that these solutions give very rich dynamics of the universe yielding to the different expansion history of it in the $r$ - direction and in the $T$ - direction. The corresponding explicit forms of the shape function $b(r)$ is presented.We have shown that the Einstein's field equations and unified first law are equivalent for the dynamical wormhole model. The first law of thermodynamics has been derived by using the Unified first law. The physical quantities including surface gravity and the temperature are derived for the wormhole. Here we have obtained all the results without any choice of the shape function. The validity of generalized second law (GSL) of thermodynamics has been examined at apparent and event horizons for the evolving Lorentzian wormhole.
38,38,"We study losses for binary classification and class probability estimation and extend the understanding of them from margin losses to general composite losses which are the composition of a proper loss with a link function. We characterise when margin losses can be proper composite losses, explicitly show how to determine a symmetric loss in full from half of one of its partial losses, introduce an intrinsic parametrisation of composite binary losses and give a complete characterisation of the relationship between proper losses and ``classification calibrated'' losses. We also consider the question of the ``best'' surrogate binary loss. We introduce a precise notion of ``best'' and show there exist situations where two convex surrogate losses are incommensurable. We provide a complete explicit characterisation of the convexity of composite binary losses in terms of the link function and the weight function associated with the proper loss which make up the composite loss. This characterisation suggests new ways of ``surrogate tuning''. Finally, in an appendix we present some new algorithm-independent results on the relationship between properness, convexity and robustness to misclassification noise for binary losses and show that all convex proper losses are non-robust to misclassification noise."
39,39,"In this paper we consider a semigroup of completely positive maps $\tau=(\tau_t,t \ge 0)$ with a faithful normal invariant state $\phi$ on a type-$II_1$ factor $\cla_0$ and propose an index theory. We :achieve this via a more general Kolmogorov's type of construction for stationary Markov processes which naturally associate a nested isomorphic von-Neumann algebras. In particular this construction generalizes well known Jones construction associated with a sub-factor of type-II$_1$ factor."
40,40,"Sparse systems are usually parameterized by a tuning parameter that determines the sparsity of the system. How to choose the right tuning parameter is a fundamental and difficult problem in learning the sparse system. In this paper, by treating the the tuning parameter as an additional dimension, persistent homological structures over the parameter space is introduced and explored. The structures are then further exploited in speeding up the computation using the proposed soft-thresholding technique. The topological structures are further used as multivariate features in the tensor-based morphometry (TBM) in characterizing white matter alterations in children who have experienced severe early life stress and maltreatment. These analyses reveal that stress-exposed children exhibit more diffuse anatomical organization across the whole white matter region."
41,41,"The existence of incentive-compatible computationally-efficient protocols for combinatorial auctions with decent approximation ratios is the paradigmatic problem in computational mechanism design. It is believed that in many cases good approximations for combinatorial auctions may be unattainable due to an inherent clash between truthfulness and computational efficiency. However, to date, researchers lack the machinery to prove such results. In this paper, we present a new approach that we believe holds great promise for making progress on this important problem. We take the first steps towards the development of new technologies for lower bounding the VC dimension of k-tuples of disjoint sets. We apply this machinery to prove the first computational-complexity inapproximability results for incentive-compatible mechanisms for combinatorial auctions. These results hold for the important class of VCG-based mechanisms, and are based on the complexity assumption that NP has no polynomial-size circuits."
42,42,"In this contribution we present a decentralized power allocation algorithm for the uplink interleave division multiple access (IDMA) channel. Within the proposed optimal strategy for power allocation, each user aims at selfishly maximizing its own utility function. An iterative chip by chip (CBC) decoder at the receiver and a rational selfish behavior of all the users according to a classical game-theoretical framework are the underlying assumptions of this work. This approach leads to a power allocation based on a channel inversion policy where the optimal power level is set locally at each terminal based on the knowledge of its own channel realization, the noise level at the receiver and the number of active users in the network."
43,43,"We establish a uniform comparison between the spectrum of the rough Laplacian (acting on sections of a vector bundle of complex rank one or of harmonic curvature) with the spectrum of a discrete operator (a generalization of a discrete magnetic Laplacian added with a potential) acting on a finite dimensional space coming from a discretization process. As an application, we obtain a comparison of the first positive eigenvalue of the rough Laplacian with the holonomy."
44,44,"We call a CNF formula linear if any two clauses have at most one variable in common. Let m(k) be the largest integer m such that any linear k-CNF formula with <= m clauses is satisfiable. We show that 4^k / (4e^2k^3) <= m(k) < ln(2) k^4 4^k. More generally, a (k,d)-CSP is a constraint satisfaction problem in conjunctive normal form where each variable can take on one of d values, and each constraint contains k variables and forbids exacty one of the d^k possible assignments to these variables. Call a (k,d)-CSP l-disjoint if no two distinct constraints have l or more variables in common. Let m_l(k,d) denote the largest integer m such that any l-disjoint (k,d)-CSP with at most m constraints is satisfiable. We show that 1/k (d^k/(ed^(l-1)k))^(1+1/(l-1))<= m_l(k,d) < c (k^2/l ln(d) d^k)^(1+1/(l-1)). for some constant c. This means for constant l, upper and lower bound differ only in a polynomial factor in d and k."
45,45,"We study the effects of higher order transversal modes in a model of a singly-resonant OPO, using both numerical solutions and mode expansions including up to two radial modes. The numerical and two-mode solutions predict lower threshold and higher conversion than the single-mode solution at negative dispersion. Relative power in the zero order radial mode ranges from about 88% at positive and small negative dispersion to 48% at larger negative dispersion, with most of the higher mode content in the first mode, and less than 2% in higher modes."
46,46,"A hypotheses of energy loss for polarization of e-e+ vacuum by a photon passing interstellar space is considered. An excitation and relaxation of vacuum can't run with speed of light due to very small but finite fraction of e-e+ pair mass that creates a retardment in recuperation of deposited energy back to photon. This ""forgotten"" by many photons energy is finally splashed out in real space as a Relic Radiation. An assumption that such energy loss is proportional to a photon energy conforms to Hubble low of Red Shift and experimental data treated as accelerated expansion of Universe. A possibility of an observation of this type energy loss is considered at high-energy accelerators where energy deposition may reach up hundreds MeV in second."
47,47,"We show for an arbitrary $\ell_p$ norm that the property that a random geometric graph $\mathcal G(n,r)$ contains a Hamiltonian cycle exhibits a sharp threshold at $r=r(n)=\sqrt{\frac{\log n}{\alpha_p n}}$, where $\alpha_p$ is the area of the unit disk in the $\ell_p$ norm. The proof is constructive and yields a linear time algorithm for finding a Hamiltonian cycle of $\RG$ a.a.s., provided $r=r(n)\ge\sqrt{\frac{\log n}{(\alpha_p -\epsilon)n}}$ for some fixed $\epsilon > 0$."
48,48,A theoretical thermodynamic cycle more efficient than an infinite set of Carnot engines is presented. This result is unexpected from the point of view of classical thermodynamics.
49,49,"Here we propose a new design paradigm for a superconducting nanowire single photon detector that uses a multi-layer architecture that places the electric leads beneath the nanowires. This allows for a very large number of detector elements, which we will call pixels in analogy to a conventional CCD camera, to be placed in close proximity. This leads to significantly better photon number resolution than current single and multi-nanowire meanders, while maintaining similar detection areas. We discuss the reset time of the pixels and how the design can be modified to avoid the latching failure seen in extremely short superconducting nanowires. These advantages give a multi-layer superconducting number-resolving photon detector significant advantages over the current design paradigm of long superconducting nanowire meanders. Such advantages are desirable in a wide array of photonics applications."
50,50,"We consider the counting rate estimation of an unknown radioactive source, which emits photons at times modeled by an homogeneous Poisson process. A spectrometer converts the energy of incoming photons into electrical pulses, whose number provides a rough estimate of the intensity of the Poisson process. When the activity of the source is high, a physical phenomenon known as pileup effect distorts direct measurements, resulting in a significant bias to the standard estimators of the source activities used so far in the field. We show in this paper that the problem of counting rate estimation can be interpreted as a sparse regression problem. We suggest a post-processed, non-negative, version of the Least Absolute Shrinkage and Selection Operator (LASSO) to estimate the photon arrival times. The main difficulty in this problem is that no theoretical conditions can guarantee consistency in sparsity of LASSO, because the dictionary is not ideal and the signal is sampled. We therefore derive theoretical conditions and bounds which illustrate that the proposed method can none the less provide a good, close to the best attainable, estimate of the counting rate activity. The good performances of the proposed approach are studied on simulations and real datasets."
51,51,In this paper we complete the proof of Ryba's modular moonshine conjectures. We do this by applying Hodge theory to the cohomology of the monster Lie algebra over the ring of p-adic integers in order to calculate the Tate cohomology groups of elements of the monster acting on the monster vertex algebra.
52,52,"We report on the formation and development of the photonic band gap in two-dimensional 8-, 10- and 12-fold symmetry quasicrystalline lattices of low index contrast. Finite size structures made of dielectric cylindrical rods were studied and measured in the microwave region, and their properties compared with a conventional hexagonal crystal. Band gap characteristics were investigated by changing the direction of propagation of the incident beam inside the crystal. Various angles of incidence from 0 \degree to 30\degree were used in order to investigate the isotropic nature of the band gap. The arbitrarily high rotational symmetry of aperiodically ordered structures could be practically exploited to manufacture isotropic band gap materials, which are perfectly suitable for hosting waveguides or cavities."
